ID,Area,User Story,Expected Behavior (as implemented),Status,Defects,Defect Type,Evidence,Source References,Open Questions / Notes
AUTH-01,Auth (Staff),As a staff user I want to log in,signInWithPassword on the internal `supabase` client; requires active row in user_profiles; redirects to /painel; inline error handling.,Verified,-,-,Vitest,src/pages/Login.tsx; src/hooks/useAuth.tsx,Runtime blocked without Supabase config; UI is not the security boundary (RLS/RPC are).
AUTH-02,Auth (Staff),As the platform I want two isolated sessions,Two Supabase clients in src/services/supabase.ts: `supabase` (staff) and `supabasePortal` (own storageKey); sessions coexist without one logout dropping the other.,Verified,-,-,Static,src/services/supabase.ts; docs/ARCHITECTURE.md,-
AUTH-03,Auth (Portal),"As a customer I want to log in by email, CNPJ or CPF","PortalLogin resolves document identifiers via portal_resolve_login(text) to a technical email, then signInWithPassword on supabasePortal; hydrates overview and unlocks PortalProtectedRoute.",Verified,-,-,Vitest + SQL-contract,src/pages/PortalLogin.tsx; src/hooks/usePortalAuth.tsx; portalResolveLoginHardeningMigration.test.ts,-
AUTH-04,Auth (Portal),As a customer I want to recover my password without account enumeration,PortalForgotPassword resolves eligibility via portal_resolve_login and triggers Auth recovery; response is always generic.,Verified,-,-,Vitest,src/pages/PortalForgotPassword.tsx; src/hooks/usePortalAuth.tsx,-
AUTH-05,Auth (Portal),As a customer I want to set a new password from a recovery link,PortalResetPassword establishes a recovery session and updates the portal credential.,Verified,-,-,Vitest,src/pages/PortalResetPassword.tsx,-
AUTH-06,Auth (Portal),As the platform I want anon default-deny with one pre-auth exception,"portal_resolve_login(text) is the only documented anon pre-auth exception (ADR 0013): hashed identifier, attempt window, generic error. All other privileged functions revoke PUBLIC/anon (ADR 0011).",Verified,-,-,SQL-contract + Static,docs/adr/0011*.md; docs/adr/0013*.md; supabase/migrations/20260615220000_portal_ce_mercante_gate.sql,RESOLVED: 20260624100000_revoke_anon_portal_read_rpcs.sql revokes anon from the six Portal read RPCs; 20260624100100_guard_definer_rpcs_active_user.sql adds is_active_user() gates. Asserted by definerActiveUserGuardMigration.test.ts (green). Remote grant application pending controlled deploy.
ROUTE-01,Operação & Suporte,As a user I want to use /login to log in to the internal app,Internal login screen; sets staff session; redirects to /painel.,Verified,-,-,Vitest,src/pages/Login.tsx,See AUTH-01.
ROUTE-02,Portal,As a user I want to use /portal/login to log in to the customer portal,Email/CNPJ/CPF login via portal_resolve_login + isolated Supabase Auth.,Verified,-,-,Vitest,src/pages/PortalLogin.tsx,-
ROUTE-03,Portal,As a user I want to use /portal/esqueci-senha to request a password recovery,"Generic, non-enumerating recovery request.",Verified,-,-,Vitest,src/pages/PortalForgotPassword.tsx,-
ROUTE-04,Portal,As a user I want to use /portal/recuperar-senha to define a new password,Recovery-session password change.,Verified,-,-,Vitest,src/pages/PortalResetPassword.tsx,-
ROUTE-05,Portal,As a user I want to use /portal to see KPIs and vessel schedule,PortalDashboard loads portal_get_session_overview_v2 + vessel_schedules with realtime invalidation.,Verified,-,-,Vitest,src/pages/PortalDashboard.tsx,-
ROUTE-06,Portal,As a user I want to use /portal/billing to list and open local and demurrage charges,PortalBilling uses portal_list_*/portal_get_* RPCs; data scoped to the authenticated customer; create/obsolete consolidation via modal.,Verified,-,-,Vitest + SQL-contract,src/pages/PortalBilling.tsx; src/services/portalBilling.ts,-
ROUTE-07,Portal,As a user I want to use /portal/operacao to consult B/Ls and containers released by the CE gate,portal_list_operation_bls; containers derived client-side; exports only the customer-filtered set.,Verified,-,-,Vitest + SQL-contract,src/pages/PortalOperacao.tsx; portalOperation.test.ts,-
ROUTE-08,Portal,As a user I want to use /portal/perfil to update profile and allowed contacts,portal_update_profile updates only authorized fields and reloads overview.,Verified,-,-,Static,src/pages/PortalProfile.tsx,Runtime not executed.
ROUTE-09,Operação & Suporte,As a user I want to use /painel to see operational KPIs and Line-Up snapshot,"Painel reads bls/containers/voyages + count_distinct_containers; caches [dashboard], [lineup-tv-v3].",Verified,-,-,Vitest,src/pages/Painel.tsx; src/services/lineup.ts,-
ROUTE-10,Viagens,"As a user I want to use /viagens to search, filter, sort, create and select a voyage",Viagens list via useViagemSchedulesAndStats; selection syncs URL; invalidates queryKeys.voyages.*.,Verified,-,-,Vitest,src/pages/Viagens.tsx; src/services/voyages.ts,-
ROUTE-11,Viagens,"As a user I want to use /viagens/:voyageId to edit schedules, CE Master and open linked modules",Master-detail deep-linkable; schedule/timeline/reconciliation services; audit logs + voyage_export_schedules.,Verified,-,-,Vitest,src/pages/Viagens.tsx,ADR 0012.
ROUTE-12,Manifestos & EDI,As a user I want to use /manifestos to import CNTR manifest and apply post-processing,"import_manifest_with_postprocess_transactional creates batch/B/Ls/containers, applies canonical gate, invalidates operational caches. Also CE Mercante import.",Verified,-,-,Vitest,src/pages/Manifestos.tsx; src/services/manifestImport.ts,-
ROUTE-13,Manifestos & EDI,"As a user I want to use /manifestos/:blId to edit B/L detail, client, charges, demurrage and invoice","BlDetalhe tabs: save_bl_review (optimistic lock, gate, audit), local charges, demurrage, invoice; humanized timeline via bl_timeline.",Verified,-,-,Vitest + SQL-contract,src/pages/BlDetalhe.tsx; src/hooks/useBlEditForm.ts,-
ROUTE-14,Manifestos & EDI,As a user I want to use /containers to filter containers and import dates/flags,Containers filters; transactional date/flag importers; dates affect demurrage; mutations invalidate related lists.,Verified,-,-,Vitest,src/pages/Containers.tsx; src/services/containerDatesImport.ts,-
ROUTE-15,Manifestos & EDI,As a user I want to use /carga-solta to preview and import breakbulk,import_breakbulk_manifest_transactional; rejects duplicate/incompatible mode; applies batch gate.,Verified,-,-,Vitest,src/pages/CargaSolta.tsx; src/services/breakbulkImport.ts,-
ROUTE-16,Manifestos & EDI,As a user I want to use /veiculos to import or delete vehicles in a controlled way,import_vehicle_rows_transactional; cancel_invoice when needed; recalculates charges; updates B/L/container/invoice.,Verified,-,-,Vitest,src/pages/Veiculos.tsx; src/services/vehicleImport.ts,-
ROUTE-17,Manifestos & EDI,As a user I want to use /baplie to import Baplie staging and resolve divergences,import_baplie_staging_transactional replaces voyage staging without overwriting commercial fields; reconciliation.,Verified,-,-,Vitest,src/pages/Baplie.tsx,-
ROUTE-18,Manifestos & EDI,As a user I want to use /vazios-importacao to import spreadsheet/Baplie and remove a manifest,import_vazios_importacao_transactional; reimport respects manifest/source; admin-only per-voyage delete.,Verified,-,-,Vitest,src/pages/VaziosImportacao.tsx; src/services/vaziosImportacaoImport.ts,-
ROUTE-19,Manifestos & EDI,As a user I want to use /embarquevazios to import bookings and filter export empties,import_vazios_bookings_transactional; import bounded per file and voyage.,Verified,-,-,Vitest,src/pages/EmbarqueVazios.tsx; src/services/vaziosImport.ts,-
ROUTE-20,Granito,"As a user I want to use /granito to import COSCO, calculate and invoice Granito","graniteImport + graniteCharges + create_invoice_from_granite_bls; own persistence, integrates invoice downstream.",Verified,-,-,Vitest,src/pages/Granite.tsx; src/services/graniteImport.ts,Module-specific behavior tests added in QA loop.
