Feature ID,Feature Name,User Story,Expected Behaviour,Edge Cases,Test Cases,Current Status,Defect Count,Severity,Notes,Last Tested Date
F-001,Login interno,"Como operador interno, quero autenticar com email e senha para acessar o sistema.","Estabelece sessao interna via Supabase Auth + user_profiles e redireciona para /painel; usuario inativo nao acessa.","Credenciais invalidas; usuario inativo; sessao expirada; config ausente.","supabaseAuth.test.ts; useAuth (ProtectedRoute); browser smoke (iteracao 3)","PASS",0,-,"Runtime de browser validado (render, guard, acessibilidade, mobile).",2026-06-25
F-002,Login do Portal (CNPJ/CPF/email),"Como cliente, quero entrar com CNPJ, CPF ou email para ver minhas cobrancas.","portal_resolve_login resolve identificador para email tecnico; Auth isolado; hidrata overview; libera PortalProtectedRoute.","Documento inexistente; multiplas tentativas (rate limit por hash); erro generico sem enumerar conta.","portalResolveLoginHardeningMigration.test.ts; supabaseAuth.test.ts","PASS",0,-,"Contrato SQL coberto; runtime Auth isolado.",2026-06-25
F-003,Recuperacao de senha do Portal,"Como cliente, quero solicitar recuperacao de senha sem revelar se a conta existe.","Envia recovery quando elegivel; resposta permanece generica.","Conta inexistente; email tecnico divergente do contato.","PortalRecovery.behavior.test.tsx","PASS",0,-,"Resposta nao enumera conta.",2026-06-25
F-004,Reset de senha do Portal,"Como cliente, quero estabelecer sessao de recovery e trocar minha senha.","Atualiza credencial da sessao do Portal via tokens de recovery.","Token expirado; senha fraca; sessao concorrente.","PortalRecovery.behavior.test.tsx","PASS",0,-,"",2026-06-25
F-005,Dashboard do Portal,"Como cliente, quero ver KPIs e programacao de navios ao entrar.","portal_get_session_overview_v2 + vessel_schedules; cache do Portal e invalidacao realtime.","Conta sem cobrancas; programacao vazia; realtime desconectado.","PortalDashboard.test.tsx","PASS",0,-,"",2026-06-25
F-006,Faturas do Portal (listar/abrir),"Como cliente, quero listar e abrir cobrancas locais e de demurrage.","RPCs portal_list_*/portal_get_* resolvem dados pelo cliente autenticado, com gate de CE.","Sem CE Mercante (oculta dados); invoice obsoleta; demurrage em disputa.","PortalBilling.test.tsx; portalCeMercanteGateMigration.test.ts; portalInvoiceHistoryLinksMigration.test.ts","PASS",0,-,"Gate de CE Mercante validado.",2026-06-25
F-007,Consolidacao no Portal,"Como cliente, quero criar ou tornar obsoleta uma consolidacao de recebiveis.","portal_create_consolidation/portal_obsolete_consolidation com posse, CE e rate limit; invalida listas e overview.","Rate limit 3/10min e 3/15min; consolidada com pagamento; B/L sem CE.","portalCreateConsolidationJsonbMigration.test.ts; portalBillingMutations.test.ts","PASS",0,-,"",2026-06-25
F-008,Operacao do Portal,"Como cliente, quero consultar B/Ls e containers liberados pelo gate de CE.","portal_list_operation_bls; containers derivados no cliente; deriva free time e dias de demurrage; exporta conjunto filtrado.","Container sem descarga; sem CE; export vazio.","portalOperation.test.ts; portalOperationMigration.test.ts","PASS",0,-,"demurrage_days no Portal respeita free_time_override (GREATEST).",2026-06-25
F-009,Perfil do Portal,"Como cliente, quero atualizar perfil e contatos permitidos.","portal_update_profile atualiza somente campos autorizados e recarrega overview.","Campos nao autorizados ignorados; email tecnico vs contato.","PortalProfile.test.tsx","PASS",0,-,"Runtime nao executado.",2026-06-25
F-010,Line-Up TV (display),"Como operacao, quero exibir e rotacionar o Line-Up em tela cheia.","fetchLineUpSnapshot agrega tabelas operacionais; cache lineup-tv-display-v2; rotacao e fullscreen.","Sem dados; rotacao com uma unica pagina; fullscreen negado; ETAs nulas (ordenacao por desempate).","LineUpTV.behavior.test.tsx; voyageTimeline.behavior.test.ts; lineupSort.test.ts","PASS",1,Low,"DEF-002 corrigido (2026-06-25): ordenacao nao vaza NaN com ETAs nulas. Runtime bloqueado.",2026-06-25
F-011,Painel (KPIs e Line-Up),"Como operador, quero ver KPIs e snapshot do Line-Up no painel inicial.","Queries da pagina + lineup.ts; count_distinct_containers; caches dashboard e lineup-tv-v3.","Banco vazio; contagem zero; carga parcial; ETAs nulas na ordenacao.","Painel.behavior.test.tsx; lineupSort.test.ts; containerCounts.test.ts","PASS",1,Low,"DEF-002 corrigido (2026-06-25). Contagem de containers distintos coberta.",2026-06-25
F-012,Viagens (lista/criar/selecionar),"Como operador, quero buscar, filtrar, ordenar, criar e selecionar viagens.","useViagemSchedulesAndStats; invalida queryKeys.voyages.*; selecao sincroniza URL.","Numero de viagem duplicado; filtros sem resultado; ordenacao estavel.","Viagens.behavior.test.tsx; viagensHelpers.test.ts; voyageForm.test.ts; voyageMutations.test.ts; browser write (iteracao 6)","PASS",0,-,"Criar viagem validado em runtime de browser (persistiu no banco).",2026-06-25
F-013,Viagem detalhe (agendas/CE Master),"Como operador, quero editar agendas, CE Master e abrir modulos vinculados.","Servicos de schedule/timeline/reconciliation; audit logs + voyage_export_schedules; atualiza cards/timeline/reconciliacao.","Snapshot null sem violar NOT NULL; multiplos terminais; CE Master vs CE de B/L.","Viagens.behavior.test.tsx; voyageMutations.test.ts; voyageTimeline.behavior.test.ts","PASS",0,-,"",2026-06-25
F-014,Importar manifesto CNTR,"Como operador, quero importar manifesto e aplicar pos-processamento.","import_manifest_with_postprocess_transactional cria lote/B/Ls/containers, aplica gate e invalida caches.","Hash duplicado (23505); rate limit (P0429); arquivo malformado; CE Master.","manifestParser.test.ts; manifestImport.test.ts; manifestFixtures.real.test.ts; manifestCeMasterAtomic.test.ts","PASS",0,-,"",2026-06-25
F-015,Importar CE Mercante,"Como operador, quero importar CE Mercante por linha ou por manifesto.","apply_ce_mercante_update/apply_ce_mercante_manifest auditam e invalidam B/Ls/detalhe.","CE inalterado retorna unchanged; lote parcial; formato EDI invalido.","ceMercanteEdiParser.test.ts; ceMercanteImport.test.ts","PASS",0,-,"",2026-06-25
F-016,Containers (filtros e import datas/flags),"Como operador, quero filtrar containers e importar datas e flags.","containerDatesImport/containerFlagsImport via RPCs transacionais; datas afetam demurrage.","Data de devolucao anterior a descarga; flags OOG/IMO; delete bloqueado por dependencia.","containerDatesImport.test.ts; containers.delete.test.ts; containerDateAuditMigration.test.ts","PASS",0,-,"",2026-06-25
F-017,Carga solta (breakbulk),"Como operador, quero pre-visualizar e importar breakbulk.","breakbulkImport via RPC transacional; rejeita duplicidade/modo incompativel; aplica gate do lote.","Item sem B/L carga_solta (trigger); peso/volume invalidos; reimport.","breakbulkImport.test.ts; breakbulkFixtures.real.test.ts; breakbulkImportAtomicMigration.test.ts; cargaSoltaRoute.test.ts","PASS",0,-,"",2026-06-25
F-018,Veiculos (import/excluir),"Como operador, quero importar ou excluir veiculos de forma controlada.","RPCs transacionais + cancel_invoice quando necessario; recalcula cobrancas.","Viagem/B/L/container incoerente (trigger); exclusao com invoice; isencao.","vehicleImport.test.ts; vehicles.delete.test.ts","PASS",0,-,"",2026-06-25
F-019,B/L detalhe e revisao,"Como operador, quero editar detalhes e revisao do B/L.","save_bl_review com lock otimista (PT409), auditoria, gate e invalidation.","Timestamp stale (PT409); concorrencia; gate canonico recomputado.","blDetalheHelpers.test.ts; blTabs.test.tsx; review.test.ts; reviewGateCanonicalMigration.test.ts","PASS",0,-,"",2026-06-25
